run_id,model,instruction_type,condition,replicate,budget,k,provider,model_id,role,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error,activity_id_returned,activity_returned,reason,activity_id,matched,position,activity,topic,actor,level
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_FG80,Students examine recommendations to publish public solar generation data from energy suppliers and determine how the strategy could limit anthropogenic impact on Earth's systems.,Analysing real energy-generation data builds climate literacy and helps students connect electricity choices with greenhouse-gas emissions.,a_FG80,TRUE,5,Students examine recommendations to publish public solar generation data from energy suppliers and determine how the strategy could limit anthropogenic impact on Earth's systems.,solar,upstream,high_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_UM19,Students examine recommendations to establish community solar schemes with local resident shares and determine how the strategy could limit anthropogenic impact on Earth's systems.,This activity shows how renewable-energy transitions involve both atmospheric systems and community-level economic decision-making.,a_UM19,TRUE,7,Students examine recommendations to establish community solar schemes with local resident shares and determine how the strategy could limit anthropogenic impact on Earth's systems.,solar,midstream,low_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_II46,Students examine recommendations to regulate leak detection systems for commercial refrigerants and determine how the strategy could limit anthropogenic impact on Earth's systems.,It introduces the high warming potential of refrigerant gases and demonstrates that climate mitigation extends beyond carbon dioxide.,a_II46,TRUE,9,Students examine recommendations to regulate leak detection systems for commercial refrigerants and determine how the strategy could limit anthropogenic impact on Earth's systems.,refrigerants,upstream,low_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_SY10,Students examine recommendations to source available area maps for urban tree planting suggestions and determine how the strategy could limit anthropogenic impact on Earth's systems.,"Using spatial information helps students investigate how vegetation affects carbon cycling, biodiversity, water flow and urban heat.",a_SY10,TRUE,10,Students examine recommendations to source available area maps for urban tree planting suggestions and determine how the strategy could limit anthropogenic impact on Earth's systems.,trees,midstream,high_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_IG83,Students examine recommendations to help plan 15-minute cities for reducing travel requirements and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This activity supports systems thinking by linking urban design, transport emissions, air quality, health and equity.",a_IG83,TRUE,14,Students examine recommendations to help plan 15-minute cities for reducing travel requirements and determine how the strategy could limit anthropogenic impact on Earth's systems.,travel,midstream,high_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_OS29,Students examine recommendations to borrow an energy auditing kit to measure household appliances and determine how the strategy could limit anthropogenic impact on Earth's systems.,Collecting and interpreting energy-use data gives students an authentic quantitative investigation of emissions reduction.,a_OS29,TRUE,41,Students examine recommendations to borrow an energy auditing kit to measure household appliances and determine how the strategy could limit anthropogenic impact on Earth's systems.,appliances,downstream,high_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_KM58,Students examine recommendations to increase minimum standards of insulation in leased properties and determine how the strategy could limit anthropogenic impact on Earth's systems.,"Evaluating insulation standards links energy transfer science to household emissions, policy and climate justice.",a_KM58,TRUE,66,Students examine recommendations to increase minimum standards of insulation in leased properties and determine how the strategy could limit anthropogenic impact on Earth's systems.,insulation,upstream,low_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_ES88,Students examine recommendations to manage appliance schedules with community energy networks and determine how the strategy could limit anthropogenic impact on Earth's systems.,It helps students understand demand management and how electricity can be used when renewable generation is most available.,a_ES88,TRUE,49,Students examine recommendations to manage appliance schedules with community energy networks and determine how the strategy could limit anthropogenic impact on Earth's systems.,appliances,midstream,low_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_NY62,Students examine recommendations to adopt a plant-based diet that prioritises unrefined produce and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This provides a useful case study of the links among food production, land use, carbon cycling, water systems and emissions.",a_NY62,TRUE,59,Students examine recommendations to adopt a plant-based diet that prioritises unrefined produce and determine how the strategy could limit anthropogenic impact on Earth's systems.,diets,downstream,low_cog
run_001,gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,10002027,success,TRUE,completed,3626,1172,NA,a_NV27,Students examine recommendations to plan local food shed sales for redirecting imperfect produce and determine how the strategy could limit anthropogenic impact on Earth's systems.,Investigating food-waste reduction enables students to trace material and energy flows through food systems and methane emissions from landfill.,a_NV27,TRUE,22,Students examine recommendations to plan local food shed sales for redirecting imperfect produce and determine how the strategy could limit anthropogenic impact on Earth's systems.,food_waste,midstream,high_cog
